"site_id","subplot","detect"
"10422 _ 1 _ 2024","6",0
"10422 _ 1 _ 2024","7",0
"10439 _ 1 _ 2024","1",0
"10439 _ 1 _ 2024","2",0
"10439 _ 1 _ 2024","3",1
"10439 _ 1 _ 2024","4",1
"10439 _ 1 _ 2024","5",0
"10439 _ 1 _ 2024","6",1
"10439 _ 1 _ 2024","7",1
"10444 _ 1 _ 2024","1",1
"10444 _ 1 _ 2024","2",0
"10444 _ 1 _ 2024","3",0
"10444 _ 1 _ 2024","4",0
"10444 _ 1 _ 2024","5",0
"10444 _ 1 _ 2024","6",0
"10444 _ 1 _ 2024","7",1
"10463 _ 1 _ 2024","1",0
"10463 _ 1 _ 2024","2",0
"10463 _ 1 _ 2024","3",1
"10463 _ 1 _ 2024","4",0
"10463 _ 1 _ 2024","5",0
"10463 _ 1 _ 2024","6",0
"10463 _ 1 _ 2024","7",0
"10467 _ 1 _ 2024","1",1
"10467 _ 1 _ 2024","2",0
"10467 _ 1 _ 2024","3",0
"10467 _ 1 _ 2024","4",0
"10467 _ 1 _ 2024","5",0
"10467 _ 1 _ 2024","6",0
"10467 _ 1 _ 2024","7",0
"10506 _ 1 _ 2024","1",0
"10506 _ 1 _ 2024","2",1
"10506 _ 1 _ 2024","3",1
"10506 _ 1 _ 2024","4",0
"10506 _ 1 _ 2024","5",0
"10506 _ 1 _ 2024","6",0
"10506 _ 1 _ 2024","7",0
"10956 _ 1 _ 2024","1",0
"10956 _ 1 _ 2024","2",0
"10956 _ 1 _ 2024","3",0
"10956 _ 1 _ 2024","4",0
"10956 _ 1 _ 2024","5",0
"10956 _ 1 _ 2024","6",0
"10956 _ 1 _ 2024","7",0
"10968 _ 1 _ 2024","1",1
"10968 _ 1 _ 2024","2",0
"10968 _ 1 _ 2024","3",0
"10968 _ 1 _ 2024","4",1
"10968 _ 1 _ 2024","5",1
"10968 _ 1 _ 2024","6",0
"10968 _ 1 _ 2024","7",1
"11081 _ 1 _ 2024","1",0
"11081 _ 1 _ 2024","2",0
"11081 _ 1 _ 2024","3",0
"11081 _ 1 _ 2024","4",0
"11081 _ 1 _ 2024","5",1
"11081 _ 1 _ 2024","6",0
"11081 _ 1 _ 2024","7",0
"11084 _ 1 _ 2024","1",1
"11084 _ 1 _ 2024","2",0
"11084 _ 1 _ 2024","3",0
"11084 _ 1 _ 2024","4",0
"11084 _ 1 _ 2024","5",0
"11084 _ 1 _ 2024","6",1
"11084 _ 1 _ 2024","7",0
"12033 _ 1 _ 2024","1",0
"12033 _ 1 _ 2024","2",0
"12033 _ 1 _ 2024","3",1
"12033 _ 1 _ 2024","4",1
"12033 _ 1 _ 2024","5",1
