OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,Long,Lat,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,FRSTBL_ACR,GROSS_AREA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page
"21","1","20","0","20",-122.57756061900,44.60436539700,3023.00000000000,"2016",Snowpeak,"2950","58",82.51980000000,85.91160000000,"20237",K6208,"108",,11S-02E-16,,,0.00000000000,533736.00000000000,4939140.00000000000,85.91200000000,WY,
"22","1","21","0","21",-122.62183668000,44.60175339210,3053.00000000000,"0",Snowpeak,"1550","62",112.86210000000,127.28230000000,"20288",,"128",,11S-02E-17,,,0.00000000000,530560.00000000000,4938730.00000000000,127.28300000000,WY,
"23","1","22","0","22",-122.61943668900,44.58957485670,25648.00000000000,"2013",Snowpeak,"1350","71",106.16460000000,110.90680000000,"20281",K4206,"128",,11S-02E-19,,,0.00000000000,530489.00000000000,4937370.00000000000,110.90700000000,WY,
"24","1","23","0","23",-122.66528951600,44.67592060670,26602.00000000000,"2014",Snowpeak,"900","90",90.30970000000,94.17250000000,"20818",K4215,"132",,"10S-01E-27, 26",,,0.00000000000,526787.00000000000,4946990.00000000000,94.17280000000,WY,
"25","1","24","0","24",-122.62034483900,44.64929544040,2850.00000000000,"2016",Snowpeak,"2950","55",25.89990000000,25.89990000000,"21159",K5217,"110",,11S-02E-06,,,0.00000000000,530194.00000000000,4943980.00000000000,25.90000000000,WY,
"26","1","25","0","25",-122.65204740400,44.63200852800,2912.00000000000,"0",Snowpeak,"1650","52",57.87140000000,61.27170000000,"20550",,"119",,11S-01E-11,,,0.00000000000,527457.00000000000,4942190.00000000000,61.27200000000,WY,
"27","1","26","0","26",-122.69407150900,44.62797909830,16294.00000000000,"0",Snowpeak,"1050","35",77.43020000000,82.18230000000,"20616",,"131",,11S-01E-09,,,0.00000000000,524582.00000000000,4941810.00000000000,82.18260000000,WY,
"28","1","27","0","27",-122.62188627400,44.62641515470,2927.00000000000,"2017",Snowpeak,"2700","55",39.75180000000,40.32040000000,"20540",,"107",,11S-02E-07,,,0.00000000000,530265.00000000000,4941610.00000000000,40.32060000000,WY,
"29","1","28","0","28",-122.70890394600,44.54429008880,5486.00000000000,"2014",Snowpeak,"950","61",19.40930000000,20.06780000000,"20666",K4214,"132",,12S-01E-08,,,0.00000000000,522993.00000000000,4932290.00000000000,20.06790000000,WY,
"30","1","29","0","29",-122.40153004900,45.00795252760,12067.00000000000,"2014",Clackamas,"2900","52",65.57950000000,70.54840000000,"10399",M2212,"93",,"06S-03E-35,36",,,0.00000000000,547487.00000000000,4983790.00000000000,70.54870000000,WY,
"31","1","30","0","30",-122.37970153200,45.03449684870,1202.00000000000,"2019",Clackamas,"2750","61",44.71340000000,45.32670000000,"10965",,"103",,06S-03E-24,,,0.00000000000,548958.00000000000,4987030.00000000000,45.32690000000,WY,
"32","1","31","0","31",-122.41529674900,45.02175350940,1304.00000000000,"2017",Clackamas,"2600","57",45.31570000000,47.34490000000,"10968",,"98",,06S-03E-26,,,0.00000000000,546142.00000000000,4985400.00000000000,47.34510000000,WY,
"33","1","32","0","32",-122.38752802200,45.06238174270,1021.00000000000,"2016",Clackamas,"2750","57",133.05000000000,134.95430000000,"10482",M6206,"115",,06S-03E-12,,,0.00000000000,548530.00000000000,4990070.00000000000,134.95500000000,WY,
"34","1","33","0","33",-122.41137519600,45.06175785240,9081.00000000000,"0",Clackamas,"2200","51",53.29400000000,53.96250000000,"10963",,"120",,06S-03E-11,,,0.00000000000,546205.00000000000,4989860.00000000000,53.96270000000,WY,
