Owner,TreeFarm,StandNo,SubPlot,V1,V2,V3
BLM,CL,10302,3,0,0,0
WY,CL,10399,3,0,0,0
BLM,CL,10439,3,1,1,1
WY,CL,10444,3,*,*,*
WY,CL,10467,3,0,0,0
WY,CL,10482,3,0,0,0
WY,CL,10488,3,0,0,0
WY,CL,10498,3,0,0,0
WY,CL,10506,3,0,0,0
WY,CL,10553,3,*,*,*
WY,CL,10597,3,0,0,0
WY,CL,10711,3,0,0,0
WY,CL,10963,3,0,0,0
WY,CL,10965,3,0,0,0
WY,CL,10968,3,*,*,*
WY,CL,11079,3,0,0,0
BLM,CL,12213,3,0,0,0
BLM,CL,12239,3,0,0,0
ODF,SP,12362,3,0,0,0
ODF,SP,12364,3,0,0,0
ODF,SP,12605,3,0,0,0
ODF,SP,12638,3,0,1,0
BLM,CL,13924,3,0,0,0
BLM,CL,15562,3,0,0,0
BLM,CL,16804,3,0,0,0
WY,SP,20031,3,0,0,0
WY,SP,20039,3,0,0,2
WY,SP,20053,3,*,*,*
WY,SP,20088,3,0,0,0
WY,SP,20090,3,0,0,0
WY,SP,20194,3,*,*,*
WY,SP,20232,3,0,0,0
WY,SP,20236,3,0,0,0
WY,SP,20237,3,0,0,0
WY,SP,20281,3,0,0,0
WY,SP,20283,3,0,0,0
WY,SP,20288,3,0,1,0
WY,SP,20291,3,*,*,*
WY,SP,20360,3,0,0,0
WY,SP,20361,3,0,0,0
WY,SP,20497,3,0,0,0
WY,SP,20535,3,0,0,0
WY,SP,20536,3,0,0,0
WY,SP,20538,3,0,1,0
WY,SP,20540,3,0,0,0
WY,SP,20543,3,0,0,0
WY,SP,20550,3,0,0,0
WY,SP,20560,3,0,0,0
WY,SP,20565,3,0,0,0
WY,SP,20571,3,0,0,0
WY,SP,20600,3,0,0,0
WY,SP,20616,3,0,0,1
WY,SP,20626,3,0,0,0
WY,SP,20666,3,0,0,0
WY,SP,20698,3,0,0,0
WY,SP,20818,3,0,0,0
WY,SP,21019,3,1,0,1
WY,SP,21026,3,0,0,0
WY,SP,21029,3,0,0,0
WY,SP,21159,3,*,*,*
WY,SP,21213,3,*,*,*
BLM,SP,25954,3,0,0,0
BLM,SP,29121,3,0,0,0
BLM,SP,29122,3,0,0,0
BLM,SP,29123,3,0,0,0
BLM,SP,29429,3,1,0,0
BLM,SP,29431,3,0,0,0
BLM,SP,29889,3,0,0,0
PB,CL,33554,3,0,0,0
PB,CL,33628,3,0,0,0
PB,CL,33651,3,0,0,0
PB,CL,33689,3,0,0,0
PB,CL,33754,3,0,0,0
PB,CL,33810,3,0,0,0
PB,CL,34007,3,0,0,0
PB,CL,34017,3,0,0,0
BLM,SP,35466,3,0,0,0
PB,CL,408143,3,0,0,0
PB,CL,408161,3,0,0,0
PB,CL,408162,3,*,*,*
PB,CL,408178,3,0,1,0
PB,CL,408180,3,*,*,*
ODF,SP,12407C,3,0,0,0
ODF,SP,12407T,3,0,0,0
BLM,CL,9757,4,2,0,*
WY,CL,10078,4,0,0,0
WY,CL,10153,4,0,0,0
WY,CL,10185,4,0,1,0
BLM,CL,10302,4,0,0,0
WY,CL,10399,4,0,0,0
BLM,CL,10439,4,1,*,*
WY,CL,10444,4,*,*,*
WY,CL,10467,4,0,0,0
WY,CL,10482,4,0,0,0
WY,CL,10488,4,0,0,0
WY,CL,10498,4,0,0,0
WY,CL,10506,4,0,0,0
WY,CL,10553,4,*,*,*
WY,CL,10597,4,0,0,0
WY,CL,10711,4,0,0,0
WY,CL,10963,4,0,0,0
WY,CL,10965,4,0,0,0
WY,CL,10968,4,*,*,*
WY,CL,11079,4,0,0,0
BLM,CL,12213,4,0,0,0
BLM,CL,12239,4,0,0,0
ODF,SP,12362,4,0,0,0
ODF,SP,12364,4,0,0,0
ODF,SP,12605,4,0,0,0
ODF,SP,12638,4,0,0,0
BLM,CL,13924,4,0,0,0
BLM,CL,15562,4,0,0,0
BLM,CL,16804,4,0,0,0
WY,SP,20031,4,0,0,0
WY,SP,20039,4,0,0,0
WY,SP,20053,4,*,*,*
WY,SP,20088,4,0,0,0
WY,SP,20090,4,0,0,0
